country,score,rank,year,type
護 罹ｦｬ,0.0558,120,2009,political
護 罹ｦｬ,0.6119,115,2009,overall
護 罹ｦｬ,0.4666,119,2010,economic
護 罹ｦｬ,0.953,99,2010,education
護 罹ｦｬ,0.9661,106,2010,health
護 罹ｦｬ,0.035,123,2010,political
護 罹ｦｬ,0.6052,119,2010,overall
護 罹ｦｬ,0.4452,124,2011,economic
護 罹ｦｬ,0.9502,96,2011,education
護 罹ｦｬ,0.9661,107,2011,health
護 罹ｦｬ,0.035,124,2011,political
護 罹ｦｬ,0.5991,121,2011,overall
護 罹ｦｬ,0.3776,131,2012,economic
護 罹ｦｬ,0.9499,103,2012,education
護 罹ｦｬ,0.9661,108,2012,health
護 罹ｦｬ,0.1511,57,2012,political
護 罹ｦｬ,0.6112,120,2012,overall
護 罹ｦｬ,0.3307,133,2013,economic
護 罹ｦｬ,0.9387,106,2013,education
護 罹ｦｬ,0.9661,108,2013,health
護 罹ｦｬ,0.1511,62,2013,political
護 罹ｦｬ,0.5966,124,2013,overall
護 罹ｦｬ,0.393,136,2014,economic
護 罹ｦｬ,0.9363,113,2014,education
護 罹ｦｬ,0.9661,124,2014,health
護 罹ｦｬ,0.1772,60,2014,political
護 罹ｦｬ,0.6182,121,2014,overall
護 罹ｦｬ,0.41,137,2015,economic
護 罹ｦｬ,0.946,110,2015,education
護 罹ｦｬ,0.966,128,2015,health
護 罹ｦｬ,0.205,55,2015,political
護 罹ｦｬ,0.632,127,2015,overall
護 罹ｦｬ,0.435,134,2016,economic
護 罹ｦｬ,0.962,104,2016,education
護 罹ｦｬ,0.966,127,2016,health
護 罹ｦｬ,0.205,56,2016,political
護 罹ｦｬ,0.642,119,2016,overall
呟ｳｨｼ,0.5872,69,2006,economic
呟ｳｨｼ,0.7792,107,2006,education
呟ｳｨｼ,0.9796,1,2006,health
呟ｳｨｼ,0.0696,81,2006,political
呟ｳｨｼ,0.6039,95,2006,overall
呟ｳｨｼ,0.5851,87,2007,economic
呟ｳｨｼ,0.7792,119,2007,education
呟ｳｨｼ,0.9796,1,2007,health
呟ｳｨｼ,0.0696,92,2007,political
呟ｳｨｼ,0.6034,108,2007,overall
呟ｳｨｼ,0.5843,87,2008,economic
呟ｳｨｼ,0.7779,122,2008,education
呟ｳｨｼ,0.9796,1,2008,health
呟ｳｨｼ,0.0711,103,2008,political
呟ｳｨｼ,0.6032,112,2008,overall
呟ｳｨｼ,0.5832,96,2009,economic
呟ｳｨｼ,0.7779,127,2009,education
呟ｳｨｼ,0.9796,1,2009,health
呟ｳｨｼ,0.2007,36,2009,political
呟ｳｨｼ,0.6353,104,2009,overall
呟ｳｨｼ,0.6296,76,2010,economic
呟ｳｨｼ,0.7854,125,2010,education
呟ｳｨｼ,0.9796,1,2010,health
呟ｳｨｼ,0.2901,24,2010,political
呟ｳｨｼ,0.6712,81,2010,overall
呟ｳｨｼ,0.5937,96,2011,economic
呟ｳｨｼ,0.7864,126,2011,education
呟ｳｨｼ,0.9796,1,2011,health
呟ｳｨｼ,0.2898,24,2011,political
呟ｳｨｼ,0.6624,86,2011,overall
呟ｳｨｼ,N/A,N/A,2012,overall
呟ｳｨｼ,0.6163,92,2013,economic
呟ｳｨｼ,0.8062,127,2013,education
呟ｳｨｼ,0.9796,1,2013,health
呟ｳｨｼ,0.2614,34,2013,political
呟ｳｨｼ,0.6659,92,2013,overall
呟ｳｨｼ,0.5878,111,2014,economic
呟ｳｨｼ,0.7211,138,2014,education
呟ｳｨｼ,0.9754,61,2014,health
呟ｳｨｼ,0.2402,38,2014,political
呟ｳｨｼ,0.6311,116,2014,overall
呟ｳｨｼ,0.59,116,2015,economic
呟ｳｨｼ,0.726,141,2015,education
呟ｳｨｼ,0.98,1,2015,health
呟ｳｨｼ,0.251,38,2015,political
呟ｳｨｼ,0.637,125,2015,overall
呟ｳｨｼ,0.565,120,2016,economic
呟ｳｨｼ,0.778,138,2016,education
呟ｳｨｼ,0.98,1,2016,health
呟ｳｨｼ,0.251,40,2016,political
呟ｳｨｼ,0.6432,115,2016,overall
･ｴ  ｰ,0.5513,82,2006,economic
･ｴ  ｰ,0.9965,29,2006,education
･ｴ  ｰ,0.9796,1,2006,health
･ｴ  ｰ,0.2044,23,2006,political
･ｴ  ｰ,0.6829,40,2006,overall
･ｴ  ｰ,0.6128,75,2007,economic
･ｴ  ｰ,0.996,33,2007,education
･ｴ  ｰ,0.9796,1,2007,health
･ｴ  ｰ,0.2044,25,2007,political
･ｴ  ｰ,0.6982,32,2007,overall
･ｴ  ｰ,0.607,80,2008,economic
･ｴ  ｰ,0.9941,57,2008,education
･ｴ  ｰ,0.9796,1,2008,health
･ｴ  ｰ,0.3027,15,2008,political
･ｴ  ｰ,0.7209,24,2008,overall
･ｴ  ｰ,0.6029,89,2009,economic
･ｴ  ｰ,0.9941,57,2009,education
･ｴ  ｰ,0.9796,1,2009,health
･ｴ  ｰ,0.3077,14,2009,political
･ｴ  ｰ,0.7211,24,2009,overall
･ｴ  ｰ,0.6024,87,2010,economic
･ｴ  ｰ,0.9953,47,2010,education
･ｴ  ｰ,0.9796,1,2010,health
･ｴ  ｰ,0.2976,20,2010,political
･ｴ  ｰ,0.7187,29,2010,overall
･ｴ  ｰ,0.6124,84,2011,economic
･ｴ  ｰ,0.9941,51,2011,education
･ｴ  ｰ,0.9796,1,2011,health
･ｴ  ｰ,0.3084,20,2011,political
･ｴ  ｰ,0.7236,28,2011,overall
･ｴ  ｰ,0.6075,92,2012,economic
･ｴ  ｰ,0.9962,41,2012,education
･ｴ  ｰ,0.9796,1,2012,health
･ｴ  ｰ,0.3018,24,2012,political
･ｴ  ｰ,0.7212,32,2012,overall
･ｴ  ｰ,0.5887,101,2013,economic
･ｴ  ｰ,0.9962,42,2013,education
･ｴ  ｰ,0.9796,1,2013,health
･ｴ  ｰ,0.3136,24,2013,political
･ｴ  ｰ,0.7195,34,2013,overall
･ｴ  ｰ,0.6312,96,2014,economic
･ｴ  ｰ,0.9962,50,2014,education
･ｴ  ｰ,0.9796,1,2014,health
･ｴ  ｰ,0.3197,21,2014,political
･ｴ  ｰ,0.7317,30,2014,overall
･ｴ  ｰ,0.615,105,2015,economic
･ｴ  ｰ,0.996,55,2015,education
･ｴ  ｰ,0.98,1,2015,health
･ｴ  ｰ,0.347,22,2015,political
･ｴ  ｰ,0.734,35,2015,overall
･ｴ  ｰ,0.616,101,2016,economic
･ｴ  ｰ,0.995,54,2016,education
･ｴ  ｰ,0.98,1,2016,health
･ｴ  ｰ,0.35,22,2016,political
･ｴ  ｰ,0.7352,33,2016,overall
･ｴｩ罷笈,N/A,N/A,2006,overall
･ｴｩ罷笈,0.7211,24,2007,economic
･ｴｩ罷笈,0.999,24,2007,education
･ｴｩ罷笈,0.9227,128,2007,health
･ｴｩ罷笈,0.0173,125,2007,political
･ｴｩ罷笈,0.6651,69,2007,overall
･ｴｩ罷笈,0.6969,36,2008,economic
･ｴｩ罷笈,0.9993,29,2008,education
･ｴｩ罷笈,0.9279,130,2008,health
･ｴｩ罷笈,0.0468,118,2008,political
･ｴｩ罷笈,0.6677,76,2008,overall
･ｴｩ罷笈,0.6712,56,2009,economic
･ｴｩ罷笈,0.9992,29,2009,education
･ｴｩ罷笈,0.9332,133,2009,health
･ｴｩ罷笈,0.0439,123,2009,political
･ｴｩ罷笈,0.6619,88,2009,overall
･ｴｩ罷笈,0.669,59,2010,economic
･ｴｩ罷笈,0.9994,26,2010,education
･ｴｩ罷笈,0.937,130,2010,health
･ｴｩ罷笈,0.0621,106,2010,political
･ｴｩ罷笈,0.6669,84,2010,overall
･ｴｩ罷笈,0.658,62,2011,economic
･ｴｩ罷笈,0.9994,27,2011,education
･ｴｩ罷笈,0.9419,131,2011,health
･ｴｩ罷笈,0.0623,108,2011,political
･ｴｩ罷笈,0.6654,84,2011,overall
･ｴｩ罷笈,0.6446,76,2012,economic
･ｴｩ罷笈,0.9995,25,2012,education
･ｴｩ罷笈,0.9441,130,2012,health
･ｴｩ罷笈,0.0662,114,2012,political
･ｴｩ罷笈,0.6636,92,2012,overall
･ｴｩ罷笈,0.6384,82,2013,economic
･ｴｩ罷笈,0.9995,29,2013,education
･ｴｩ罷笈,0.9497,131,2013,health
･ｴｩ罷笈,0.0662,115,2013,political
･ｴｩ罷笈,0.6634,94,2013,overall
･ｴｩ罷笈,0.6478,82,2014,economic
･ｴｩ罷笈,0.9996,31,2014,education
･ｴｩ罷笈,0.9332,142,2014,health
･ｴｩ罷笈,0.068,123,2014,political
･ｴｩ罷笈,0.6622,99,2014,overall
･ｴｩ罷笈,0.664,79,2015,economic
･ｴｩ罷笈,1,35,2015,education
･ｴｩ罷笈,0.939,144,2015,health
･ｴｩ罷笈,0.068,125,2015,political
･ｴｩ罷笈,0.668,104,2015,overall
･ｴｩ罷笈,0.671,69,2016,economic
･ｴｩ罷笈,1,27,2016,education
･ｴｩ罷笈,0.939,143,2016,health
･ｴｩ罷笈,0.068,125,2016,political
･ｴｩ罷笈,0.6693,101,2016,overall
､､ｸ 溢攵ｦｬ,0.7259,12,2006,economic
､､ｸ 溢攵ｦｬ,1,1,2006,education
､､ｸ 溢攵ｦｬ,0.9761,57,2006,health
､､ｸ 溢攵ｦｬ,0.1634,32,2006,political
､､ｸ 溢攵ｦｬ,0.7163,15,2006,overall
､､ｸ 溢攵ｦｬ,0.744,12,2007,economic
､､ｸ 溢攵ｦｬ,1,1,2007,education
､､ｸ 溢攵ｦｬ,0.9741,71,2007,health
､､ｸ 溢攵ｦｬ,0.1634,35,2007,political
､､ｸ 溢攵ｦｬ,0.7204,17,2007,overall
､､ｸ 溢攵ｦｬ,0.7307,22,2008,economic
､､ｸ 溢攵ｦｬ,1,1,2008,education
､､ｸ 溢攵ｦｬ,0.9741,73,2008,health
､､ｸ 溢攵ｦｬ,0.1915,37,2008,political
､､ｸ 溢攵ｦｬ,0.7241,21,2008,overall
､､ｸ 溢攵ｦｬ,0.7477,19,2009,economic
､､ｸ 溢攵ｦｬ,1,1,2009,education
､､ｸ 溢攵ｦｬ,0.9737,78,2009,health
､､ｸ 溢攵ｦｬ,0.1915,39,2009,political
､､ｸ 溢攵ｦｬ,0.7282,20,2009,overall
､､ｸ 溢攵ｦｬ,0.7428,24,2010,economic
､､ｸ 溢攵ｦｬ,1,1,2010,education
､､ｸ 溢攵ｦｬ,0.9739,73,2010,health
､､ｸ 溢攵ｦｬ,0.1917,39,2010,political
､､ｸ 溢攵ｦｬ,0.7271,23,2010,overall
､､ｸ 溢攵ｦｬ,0.7565,18,2011,economic
､､ｸ 溢攵ｦｬ,1,1,2011,education
､､ｸ 溢攵ｦｬ,0.9739,74,2011,health
､､ｸ 溢攵ｦｬ,0.1861,38,2011,political
､､ｸ 溢攵ｦｬ,0.7291,23,2011,overall
､､ｸ 溢攵ｦｬ,0.7593,22,2012,economic
､､ｸ 溢攵ｦｬ,1,1,2012,education
､､ｸ 溢攵ｦｬ,0.9735,73,2012,health
､､ｸ 溢攵ｦｬ,0.1847,42,2012,political
､､ｸ 溢攵ｦｬ,0.7294,25,2012,overall
､､ｸ 溢攵ｦｬ,0.7879,13,2013,economic
､､ｸ 溢攵ｦｬ,1,1,2013,education
､､ｸ 溢攵ｦｬ,0.9735,69,2013,health
､､ｸ 溢攵ｦｬ,0.1945,43,2013,political
､､ｸ 溢攵ｦｬ,0.739,24,2013,overall
､､ｸ 溢攵ｦｬ,0.801,14,2014,economic
､､ｸ 溢攵ｦｬ,1,1,2014,education
､､ｸ 溢攵ｦｬ,0.9737,70,2014,health
､､ｸ 溢攵ｦｬ,0.1887,53,2014,political
､､ｸ 溢攵ｦｬ,0.7409,23,2014,overall
､､ｸ 溢攵ｦｬ,0.766,32,2015,economic
､､ｸ 溢攵ｦｬ,1,1,2015,education
､､ｸ 溢攵ｦｬ,0.974,74,2015,health
､､ｸ 溢攵ｦｬ,0.193,61,2015,political
､､ｸ 溢攵ｦｬ,0.733,36,2015,overall
､､ｸ 溢攵ｦｬ,0.719,42,2016,economic
､､ｸ 溢攵ｦｬ,1,1,2016,education
､､ｸ 溢攵ｦｬ,0.974,72,2016,health
､､ｸ 溢攵ｦｬ,0.193,61,2016,political
､､ｸ 溢攵ｦｬ,0.7214,46,2016,overall
､､ｸｦｬ,0.5526,81,2006,economic
､､ｸｦｬ,0.9802,68,2006,education
､､ｸｦｬ,0.9796,1,2006,health
､､ｸｦｬ,0.2821,14,2006,political
､､ｸｦｬ,0.6986,27,2006,overall
､､ｸｦｬ,0.5824,89,2007,economic
､､ｸｦｬ,0.9802,77,2007,education
､､ｸｦｬ,0.9796,1,2007,health
､､ｸｦｬ,0.2821,15,2007,political
､､ｸｦｬ,0.706,26,2007,overall
､､ｸｦｬ,0.5872,84,2008,economic
､､ｸｦｬ,0.9886,76,2008,education
､､ｸｦｬ,0.9796,1,2008,health
､､ｸｦｬ,0.3057,14,2008,political
､､ｸｦｬ,0.7153,29,2008,overall
､､ｸｦｬ,0.5701,102,2009,economic
､､ｸｦｬ,0.9886,78,2009,education
､､ｸｦｬ,0.9796,1,2009,health
､､ｸｦｬ,0.2744,23,2009,political
､､ｸｦｬ,0.7031,41,2009,overall
､､ｸｦｬ,0.5952,92,2010,economic
､､ｸｦｬ,0.9886,75,2010,education
､､ｸｦｬ,0.9787,44,2010,health
､､ｸｦｬ,0.2742,26,2010,political
､､ｸｦｬ,0.7091,37,2010,overall
､､ｸｦｬ,0.6245,77,2011,economic
､､ｸｦｬ,0.9886,76,2011,education
､､ｸｦｬ,0.9787,46,2011,health
､､ｸｦｬ,0.2744,27,2011,political
､､ｸｦｬ,0.7165,34,2011,overall
､､ｸｦｬ,0.6515,70,2012,economic
､､ｸｦｬ,0.9946,49,2012,education
､､ｸｦｬ,0.9787,50,2012,health
､､ｸｦｬ,0.3318,18,2012,political
､､ｸｦｬ,0.7391,20,2012,overall
､､ｸｦｬ,0.6642,69,2013,economic
､､ｸｦｬ,1,1,2013,education
､､ｸｦｬ,0.9787,47,2013,health
､､ｸｦｬ,0.3318,19,2013,political
､､ｸｦｬ,0.7437,19,2013,overall
､､ｸｦｬ,0.6704,68,2014,economic
､､ｸｦｬ,1,1,2014,education
､､ｸｦｬ,0.9789,52,2014,health
､､ｸｦｬ,0.2573,36,2014,political
､､ｸｦｬ,0.7266,34,2014,overall
､､ｸｦｬ,0.705,52,2015,economic
､､ｸｦｬ,1,1,2015,education
､､ｸｦｬ,0.98,1,2015,health
､､ｸｦｬ,0.246,39,2015,political
､､ｸｦｬ,0.733,37,2015,overall
､､ｸｦｬ,0.65,84,2016,economic
､､ｸｦｬ,0.987,86,2016,education
､､ｸｦｬ,0.98,1,2016,health
､､ｸｦｬ,0.246,41,2016,political
､､ｸｦｬ,0.7158,52,2016,overall
 罹･ｴｰ肥擽,N/A,N/A,2006,overall
 罹･ｴｰ肥擽,0.7319,19,2007,economic
 罹･ｴｰ肥擽,0.9715,82,2007,education
 罹･ｴｰ肥擽,0.926,127,2007,health
 罹･ｴｰ肥擽,0.0831,85,2007,political
 罹･ｴｰ肥擽,0.6781,57,2007,overall
 罹･ｴｰ肥擽,0.7863,4,2008,economic
 罹･ｴｰ肥擽,0.9673,91,2008,education
 罹･ｴｰ肥擽,0.9313,129,2008,health
 罹･ｴｰ肥擽,0.0575,114,2008,political
 罹･ｴｰ肥擽,0.6856,60,2008,overall
 罹･ｴｰ肥擽,0.6863,47,2009,economic
 罹･ｴｰ肥擽,0.9699,94,2009,education
 罹･ｴｰ肥擽,0.9366,132,2009,health
 罹･ｴｰ肥擽,0.0575,119,2009,political
 罹･ｴｰ肥擽,0.6626,87,2009,overall
 罹･ｴｰ肥擽,0.6352,73,2010,economic
 罹･ｴｰ肥擽,0.9671,93,2010,education
 罹･ｴｰ肥擽,0.9287,134,2010,health
 罹･ｴｰ肥擽,0.0473,113,2010,political
 罹･ｴｰ肥擽,0.6446,100,2010,overall
 罹･ｴｰ肥擽,0.642,70,2011,economic
 罹･ｴｰ肥擽,0.9891,73,2011,education
 罹･ｴｰ肥擽,0.9331,132,2011,health
 罹･ｴｰ肥擽,0.0665,103,2011,political
 罹･ｴｰ肥擽,0.6577,91,2011,overall
 罹･ｴｰ肥擽,0.6489,74,2012,economic
 罹･ｴｰ肥擽,0.983,84,2012,education
 罹･ｴｰ肥擽,0.92,135,2012,health
 罹･ｴｰ肥擽,0.0663,113,2012,political
 罹･ｴｰ肥擽,0.6546,99,2012,overall
 罹･ｴｰ肥擽,0.6591,72,2013,economic
 罹･ｴｰ肥擽,0.982,85,2013,education
 罹･ｴｰ肥擽,0.9254,136,2013,health
 罹･ｴｰ肥擽,0.0663,114,2013,political
 罹･ｴｰ肥擽,0.6582,99,2013,overall
 罹･ｴｰ肥擽,0.7087,52,2014,economic
 罹･ｴｰ肥擽,0.984,92,2014,education
 罹･ｴｰ肥擽,0.9441,137,2014,health
 罹･ｴｰ肥擽,0.0642,127,2014,political
 罹･ｴｰ肥擽,0.6753,90,2014,overall
 罹･ｴｰ肥擽,0.701,54,2015,economic
 罹･ｴｰ肥擽,0.984,90,2015,education
 罹･ｴｰ肥擽,0.95,139,2015,health
 罹･ｴｰ肥擽,0.063,129,2015,political
 罹･ｴｰ肥擽,0.675,94,2015,overall
 罹･ｴｰ肥擽,0.728,38,2016,economic
 罹･ｴｰ肥擽,0.988,83,2016,education
 罹･ｴｰ肥擽,0.95,138,2016,health
 罹･ｴｰ肥擽,0.069,124,2016,political
 罹･ｴｰ肥擽,0.6837,85,2016,overall
ｰ被葺ｧ,N/A,N/A,2006,overall
ｰ被葺ｧ,N/A,N/A,2007,overall
ｰ被葺ｧ,N/A,N/A,2008,overall
ｰ被葺ｧ,0.8264,2,2009,economic
ｰ被葺ｧ,1,1,2009,education
ｰ被葺ｧ,0.9796,1,2009,health
ｰ被葺ｧ,0.0655,109,2009,political
ｰ被葺ｧ,0.7179,28,2009,overall
ｰ被葺ｧ,0.8288,4,2010,economic
ｰ被葺ｧ,1,1,2010,education
ｰ被葺ｧ,0.9796,1,2010,health
ｰ被葺ｧ,0.043,115,2010,political
ｰ被葺ｧ,0.7128,36,2010,overall
ｰ被葺ｧ,0.9135,1,2011,economic
ｰ被葺ｧ,1,1,2011,education
ｰ被葺ｧ,0.9796,1,2011,health
ｰ被葺ｧ,0.043,117,2011,political
ｰ被葺ｧ,0.734,22,2011,overall
ｰ被葺ｧ,0.8359,2,2012,economic
ｰ被葺ｧ,1,1,2012,education
ｰ被葺ｧ,0.9796,1,2012,health
ｰ被葺ｧ,0.0471,122,2012,political
ｰ被葺ｧ,0.7156,37,2012,overall
ｰ被葺ｧ,0.8244,5,2013,economic
ｰ被葺ｧ,1,1,2013,education
ｰ被葺ｧ,0.9796,1,2013,health
ｰ被葺ｧ,0.0471,124,2013,political
ｰ被葺ｧ,0.7128,40,2013,overall
ｰ被葺ｧ,0.8223,5,2014,economic
ｰ被葺ｧ,1,1,2014,education
ｰ被葺ｧ,0.9796,1,2014,health
ｰ被葺ｧ,0.1059,101,2014,political
ｰ被葺ｧ,0.7269,33,2014,overall
ｰ被葺ｧ,0.823,7,2015,economic
ｰ被葺ｧ,1,1,2015,education
ｰ被葺ｧ,0.98,1,2015,health
ｰ被葺ｧ,0.11,98,2015,political
ｰ被葺ｧ,0.728,40,2015,overall
ｰ被葺ｧ,0.827,3,2016,economic
ｰ被葺ｧ,1,1,2016,education
ｰ被葺ｧ,0.98,1,2016,health
ｰ被葺ｧ,0.11,99,2016,political
ｰ被葺ｧ,0.7291,37,2016,overall
ｰ罷 溢攤,0.3829,111,2006,economic
ｰ罷 溢攤,0.9893,54,2006,education
ｰ罷 溢攤,0.9617,104,2006,health
ｰ罷 溢攤,0.0236,110,2006,political
ｰ罷 溢攤,0.5894,101,2006,overall
ｰ罷 溢攤,0.3903,124,2007,economic
ｰ罷 溢攤,0.9893,59,2007,education
ｰ罷 溢攤,0.9612,110,2007,health
ｰ罷 溢攤,0.0315,121,2007,political
ｰ罷 溢攤,0.5931,113,2007,overall
ｰ罷 溢攤,0.3988,126,2008,economic
ｰ罷 溢攤,0.9917,66,2008,education
ｰ罷 溢攤,0.9612,112,2008,health
ｰ罷 溢攤,0.0192,127,2008,political
ｰ罷 溢攤,0.5927,119,2008,overall
ｰ罷 溢攤,0.483,118,2009,economic
ｰ罷 溢攤,0.9911,69,2009,education
ｰ罷 溢攤,0.9612,116,2009,health
ｰ罷 溢攤,0.0192,131,2009,political
ｰ罷 溢攤,0.6136,114,2009,overall
ｰ罷 溢攤,0.4967,115,2010,economic
ｰ罷 溢攤,0.9915,60,2010,education
ｰ罷 溢攤,0.9612,110,2010,health
ｰ罷 溢攤,0.0376,120,2010,political
ｰ罷 溢攤,0.6217,110,2010,overall
ｰ罷 溢攤,0.5079,115,2011,economic
ｰ罷 溢攤,0.9862,81,2011,education
ｰ罷 溢攤,0.9612,111,2011,health
ｰ罷 溢攤,0.0376,122,2011,political
ｰ罷 溢攤,0.6232,110,2011,overall
ｰ罷 溢攤,0.4967,118,2012,economic
ｰ罷 溢攤,0.9947,47,2012,education
ｰ罷 溢攤,0.9612,111,2012,health
ｰ罷 溢攤,0.0667,112,2012,political
ｰ罷 溢攤,0.6298,111,2012,overall
ｰ罷 溢攤,0.5146,117,2013,economic
ｰ罷 溢攤,0.9911,71,2013,education
ｰ罷 溢攤,0.9612,112,2013,health
ｰ罷 溢攤,0.0667,113,2013,political
ｰ罷 溢攤,0.6334,112,2013,overall
ｰ罷 溢攤,0.4803,126,2014,economic
ｰ罷 溢攤,0.9855,90,2014,education
ｰ罷 溢攤,0.9612,132,2014,health
ｰ罷 溢攤,0.0774,116,2014,political
ｰ罷 溢攤,0.6261,119,2014,overall
ｰ罷 溢攤,0.597,113,2015,economic
ｰ罷 溢攤,0.981,94,2015,education
ｰ罷 溢攤,0.961,133,2015,health
ｰ罷 溢攤,0.037,138,2015,political
ｰ罷 溢攤,0.644,121,2015,overall
ｰ罷 溢攤,0.475,127,2016,economic
ｰ罷 溢攤,0.987,84,2016,education
ｰ罷 溢攤,0.961,132,2016,health
ｰ罷 溢攤,0.037,137,2016,political
ｰ罷 溢攤,0.615,130,2016,overall
ｰｩｸ\ｼｰ,0.423,107,2006,economic
ｰｩｸ\ｼｰ,0.8681,95,2006,education
ｰｩｸ\ｼｰ,0.9495,113,2006,health
ｰｩｸ\ｼｰ,0.2673,17,2006,political
ｰｩｸ\ｼｰ,0.627,90,2006,overall
ｰｩｸ\ｼｰ,0.4374,116,2007,economic
ｰｩｸ\ｼｰ,0.8714,105,2007,education
ｰｩｸ\ｼｰ,0.9496,122,2007,health
ｰｩｸ\ｼｰ,0.2673,17,2007,political
ｰｩｸ\ｼｰ,0.6314,98,2007,overall
ｰｩｸ\ｼｰ,0.4436,119,2008,economic
ｰｩｸ\ｼｰ,0.9093,104,2008,education
ｰｩｸ\ｼｰ,0.9496,124,2008,health
ｰｩｸ\ｼｰ,0.3098,13,2008,political
ｰｩｸ\ｼｰ,0.6531,88,2008,overall
ｰｩｸ\ｼｰ,0.4552,121,2009,economic
ｰｩｸ\ｼｰ,0.9113,105,2009,education
ｰｩｸ\ｼｰ,0.95,127,2009,health
ｰｩｸ\ｼｰ,0.2939,17,2009,political
ｰｩｸ\ｼｰ,0.6526,91,2009,overall
ｰｩｸ\ｼｰ,0.4732,117,2010,economic
ｰｩｸ\ｼｰ,0.9139,108,2010,education
ｰｩｸ\ｼｰ,0.9557,122,2010,health
ｰｩｸ\ｼｰ,0.3378,12,2010,political
ｰｩｸ\ｼｰ,0.6702,82,2010,overall
ｰｩｸ\ｼｰ,0.4932,118,2011,economic
ｰｩｸ\ｼｰ,0.9168,108,2011,education
ｰｩｸ\ｼｰ,0.9557,123,2011,health
ｰｩｸ\ｼｰ,0.3591,11,2011,political
ｰｩｸ\ｼｰ,0.6812,69,2011,overall
ｰｩｸ\ｼｰ,0.4799,121,2012,economic
ｰｩｸ\ｼｰ,0.8575,118,2012,education
ｰｩｸ\ｼｰ,0.9557,123,2012,health
ｰｩｸ\ｼｰ,0.3804,8,2012,political
ｰｩｸ\ｼｰ,0.6684,86,2012,overall
ｰｩｸ\ｼｰ,0.4954,121,2013,economic
ｰｩｸ\ｼｰ,0.8846,115,2013,education
ｰｩｸ\ｼｰ,0.9557,124,2013,health
ｰｩｸ\ｼｰ,0.4036,7,2013,political
ｰｩｸ\ｼｰ,0.6848,75,2013,overall
ｰｩｸ\ｼｰ,0.4774,127,2014,economic
